#,Name,Start,End,Length,Color
R1,COUNT-IN 4x2,2.1.00,4.1.00,2.0.00,
R2,INTRO 7x4,4.1.00,8.1.00,4.0.00,0080FF
R3,STOP 8x1,8.1.00,10.1.00,2.0.00,FFFFFF
R4,VERSE 7x1,10.1.00,11.1.00,1.0.00,00FF00
R5,STOP 8x1,11.1.00,13.1.00,2.0.00,FFFFFF
R6,VERSE 7x2,13.1.00,15.1.00,2.0.00,00FF00
R7,CHORUS 8x2,15.1.00,19.1.00,4.0.00,FF8000
R8,CHORUS 7x2,19.1.00,21.1.00,2.0.00,FF0000
R9,STOP 8x1,21.1.00,23.1.00,2.0.00,FFFFFF
R10,VERSE 7x1,23.1.00,24.1.00,0.7.00,00FF00
R11,STOP 4x2,24.1.00,26.1.00,2.0.00,FFFFFF
R12,VERSE 7x2,26.1.00,28.1.00,2.0.00,00FF00
R13,CHORUS 4x4,28.1.00,32.1.00,4.0.00,FF8000
R14,CHORUS 7x4,32.1.00,36.1.00,4.0.00,FF0000
R15,HH+BASS 4x4,36.1.00,40.1.00,4.0.00,FFFFFF
R16,STOP PRESOLO 6x2!!!,40.1.00,42.1.00,2.0.00,0080C0
R17,SOLO 7x4,42.1.00,46.1.00,4.0.00,8000FF
R18,SPECIAL 3x8,46.1.00,54.1.00,8.0.00,FFFF00
R19,TOM+BASS 4x8,54.1.00,62.1.00,8.0.00,00FFFF
R20,TOM+BASS 4x4,62.1.00,66.1.00,4.0.00,80FFFF
R21,TOM+BASS 4x4,66.1.00,70.1.00,4.0.00,8080FF
R22,TOM+BASS 4x4,70.1.00,74.1.00,3.4.00,8000FF
R23,CHORUS 7x4,74.1.00,77.7.98,4.2.98,FF0000
R24,STOP 8x1,77.7.98,80.1.03,2.0.06,FFFFFF
